Complaint,Category,Priority
"May katiwalian sa bidding ng mga proyekto ng gobyerno. Madalas ang mga kontrata ay napupunta sa hindi karapat-dapat o konektadong kumpanya, imbes na sa mga may tamang kakayahan at karanasan. Nakakafrustrate ito at nakakasama sa kalidad ng proyekto. Sana ay masiguro ng lokal na pamahalaan ang patas at transparent na proseso ng bidding para sa lahat.",Governance and Integrity Concerns,High
"Sobra ang singil sa bigas sa palengke. Nakakabigat ito sa mga pamilya lalo na sa araw-araw na gastusin. Wala ring malinaw na paliwanag kung bakit tumaas ang presyo, at parang hindi makatarungan sa mga mamimili. Sana ay magkaroon ng monitoring ang DTI o local authorities para maging patas ang presyo sa palengke.",Overpricing,High
"Hindi binabayaran ng tama ang sahod ng mga manggagawa. Maraming empleyado ang nakararanas ng delayed o kulang na sahod, kahit na tinatrabaho nila ang buong oras o over time. Nakakafrustrate ito at nakakaapekto sa kanilang pang-araw-araw na pamumuhay. Sana ay masiguro ng mga employer at ng DOLE na tama at on-time ang sahod ng lahat ng manggagawa.",Workforce Concerns,Medium
"Workers are not being paid correctly. Many employees experience delayed or underpaid wages, even though they work full hours or overtime. This is frustrating and affects their daily lives. We hope employers and the Department of Labor ensure that all workers receive correct and timely wages.",Workforce Concerns,Medium
"Hindi binabayaran ng tama ang sahod ng mga manggagawa. Maraming empleyado ang nakararanas ng delayed o kulang na sahod, kahit na tinatrabaho nila ang buong oras o overtime. Nakakafrustrate ito at nakakaapekto sa kanilang pang-araw-araw na pamumuhay. Sana ay masiguro ng mga employer at ng DOLE na tama at on-time ang sahod ng lahat ng manggagawa.",Workforce Concerns,Medium
Ang mga essential goods sa mga tindahan ay sobra ang presyo. Nakakabigat ito sa mga pamilya lalo na sa pang-araw-araw na gastusin. Wala ring malinaw na paliwanag kung bakit tumaas ang presyo at nakakaapekto ito sa budget ng mga residente. Sana ay masiguro ng DTI o local authorities na makatwiran at patas ang presyo ng mga pangunahing bilihin.,Overpricing,High
"Essential goods in stores are overpriced. This is burdensome for families, especially for daily expenses. There is no clear explanation for the price increase, and it affects residents’ budgets. We hope the DTI or local authorities ensure that the prices of basic goods are reasonable and fair.""",Overpricing,High
Ang mga pangunahing bilihin sa mga tindahan ay sobra ang presyo. Mabigat ito sa mga pamilya lalo na sa pang-araw-araw na gastusin. Wala ring malinaw na paliwanag kung bakit tumaas ang presyo at nakakaapekto ito sa budget ng mga residente. Sana ay masiguro ng DTI o lokal na pamahalaan na makatwiran at patas ang presyo ng mga pangunahing bilihin.,Overpricing,High
Ang mga manggagawa ay nae-exploit sa sobrang haba ng oras ng trabaho. Madalas hindi binibigyan ng tamang break o overtime pay ang mga empleyado kahit nagtatrabaho sila nang sobra. Nakakaapekto ito sa kanilang kalusugan at personal na buhay.,Workforce Concerns,High
Workers are exploited with excessively long working hours. Employees are often not given proper breaks or overtime pay even when they work beyond their scheduled hours. This affects their health and personal life.,Workforce Concerns,High
Ang mga manggagawa ay nae-exploit sa sobrang haba ng oras ng trabaho. Madalas hindi binibigyan ng tamang break o overtime pay ang mga empleyado kahit nagtatrabaho sila nang sobra. Nakakaapekto ito sa kanilang kalusugan at personal na buhay.,Workforce Concerns,High
"Pinapapasok ang mga manggagawa kahit holiday pero walang overtime pay. Nakakafrustrate ito at unfair para sa mga empleyado na nagbibigay ng kanilang oras at effort. Nakakaapekto rin ito sa kanilang personal na buhay at kalusugan. Sana ay masiguro ng mga employer at ng DOLE na binabayaran ang tamang overtime, lalo na kapag holiday.",Workforce Concerns,High
"Workers are required to report to work on holidays without receiving overtime pay. This is frustrating and unfair to employees who give their time and effort. It also affects their personal life and health. We hope employers and the Department of Labor ensure proper payment for overtime, especially on holidays.",Workforce Concerns,High
"Pinapapasok ang mga manggagawa kahit holiday pero walang overtime pay. Nakakafrustrate at hindi patas ito sa mga empleyado na nagbibigay ng kanilang oras at effort. Nakakaapekto rin ito sa kanilang personal na buhay at kalusugan. Sana ay masiguro ng mga employer at ng DOLE na tama ang bayad sa overtime, lalo na kapag holiday.",Workforce Concerns,High
"Ang pag-apply ng clearances sa city hall o barangay ay tumatagal ng ilang linggo. Nakakafrustrate ito sa mga residente lalo na kung kailangan nila agad ang dokumento para sa trabaho, paaralan, o iba pang mahahalagang pangangailangan. Sana ay mapabilis ang proseso at magkaroon ng malinaw na sistema para mas maging efficient at maayos ang serbisyo.",Procedural and Operational Issues,High
"Applying for clearances at the city hall or barangay takes several weeks. This is frustrating for residents, especially when they need documents urgently for work, school, or other essential needs. We hope the process can be expedited and that there is a clear system to make the service more efficient and organized.",Procedural and Operational Issues,High
"Applying for clearances at the city hall or barangay takes several weeks. This is frustrating for residents, especially when they need documents urgently for work, school, or other essential needs. We hope the process can be expedited and that there is a clear system to make the service more efficient and organized.",Procedural and Operational Issues,High
"Ang proseso sa city hall o barangay ay sobrang komplikado at maraming unnecessary steps. Nakakafrustrate ito sa mga residente at nag-aaksaya ng oras, lalo na kung kailangan nila agad ang dokumento o serbisyo. Sana ay masimple at mas mabilis ang proseso, at magkaroon ng malinaw at efficient na workflow.",Procedural and Operational Issues,High
Workers are exploited with excessively long working hours. Employees are often not given proper breaks or overtime pay even when they work beyond their scheduled hours. This affects their health and personal life. We hope employers and the Department of Labor ensure correct wages and fair working hours for all workers.,Procedural and Operational Issues,High
"Ang proseso sa city hall o barangay ay sobrang komplikado at maraming hindi kinakailangang hakbang. Nakakafrustrate ito sa mga residente at nag-aaksaya ng oras, lalo na kung kailangan nila agad ang dokumento o serbisyo. Sana ay masimple at mas mabilis ang proseso, at magkaroon ng malinaw at efficient na daloy ng trabaho.",Procedural and Operational Issues,High
Palaging offline ang system sa city hall o barangay. Nakakafrustrate ito sa mga residente at empleyado dahil hindi nagagawa agad ang mga dokumento o transaksyon. Sana ay masiguro ng IT department na stable at reliable ang system para mas mabilis at maayos ang serbisyo sa publiko.,Procedural and Operational Issues,Medium
The system at the city hall or barangay is frequently offline. This is frustrating for residents and employees because documents and transactions cannot be processed promptly. We hope the IT department ensures the system is stable and reliable to provide faster and more efficient public service.,Procedural and Operational Issues,Medium
Palaging offline ang system sa city hall o barangay. Nakakafrustrate ito sa mga residente at empleyado dahil hindi nagagawa agad ang mga dokumento o transaksyon. Sana ay masiguro ng IT department na stable at reliable ang system para mas mabilis at maayos ang serbisyo sa publiko.,Procedural and Operational Issues,Medium
"Napakatagal ng proseso ng mga dokumento sa city hall. Pinapaghihintay ng matagal ang mga residente at minsan pinapabalik pa kinabukasan. Nakakafrustrate ito lalo na kung kailangan agad ang dokumento para sa trabaho, paaralan, o iba pang pangangailangan. Sana ay mapabilis ang proseso at maging mas efficient ang serbisyo sa publiko.",Procedural and Operational Issues,High
"The processing of documents at city hall takes too long. Residents often have to wait for extended periods, and sometimes are asked to return the next day. This is frustrating, especially when documents are urgently needed for work, school, or other essential purposes. We hope the process can be expedited and public services made more efficient.",Procedural and Operational Issues,High
"Ang proseso sa city hall o barangay ay sobrang komplikado at maraming hindi kinakailangang hakbang. Nakakafrustrate ito sa mga residente at nag-aaksaya ng oras, lalo na kung kailangan nila agad ang dokumento o serbisyo. Sana ay masimple at mas mabilis ang proseso, at magkaroon ng malinaw at efficient na daloy ng trabaho.",Procedural and Operational Issues,High
"Laging kulang ang staff sa city hall o barangay. Dahil dito, bumabagal ang serbisyo at napapabayaan ang mga residente na nangangailangan ng tulong o dokumento. Nakakafrustrate ito lalo na kung maraming tao ang nag-aabang. Sana ay magdagdag ng sapat na staff para maging mas mabilis at maayos ang serbisyo.",Procedural and Operational Issues,High
"There is always a shortage of staff at the city hall or barangay. Because of this, services are delayed, and residents needing assistance or documents are neglected. This is frustrating, especially when many people are waiting. We hope additional staff will be provided to ensure faster and more efficient service.""",Procedural and Operational Issues,High
"Laging kulang ang staff sa city hall o barangay. Dahil dito, bumabagal ang serbisyo at napapabayaan ang mga residente na nangangailangan ng tulong o dokumento. Nakakafrustrate ito lalo na kung maraming tao ang nag-aabang. Sana ay magdagdag ng sapat na staff para maging mas mabilis at maayos ang serbisyo.",Procedural and Operational Issues,High
"Pinapapasok ang mga residente na magsumite ng sobrang daming dokumento para sa simpleng transaksyon. Nakakafrustrate ito at nag-aaksaya ng oras, lalo na kung kailangan ang serbisyo agad. Sana ay masimple at mas malinaw ang requirements para sa lahat ng transactions sa city hall o barangay.",Procedural and Operational Issues,Medium
"Residents are required to submit too many unnecessary documents for simple transactions. This is frustrating and wastes time, especially when services are needed urgently. We hope that requirements are simplified and made clear for all transactions at the city hall or barangay.",Procedural and Operational Issues,Medium
"Pinapapasok ang mga residente na magsumite ng sobrang daming dokumento para sa simpleng transaksyon. Nakakafrustrate ito at nag-aaksaya ng oras, lalo na kung kailangan ang serbisyo agad. Sana ay masimple at mas malinaw ang requirements para sa lahat ng transaksyon sa city hall o barangay.",Procedural and Operational Issues,Medium
Ang queue management system sa city hall o barangay ay inefficient. Madalas matagal ang paghihintay ng mga residente at nagkakaroon ng kalituhan sa linya. Nakakafrustrate ito lalo na kung maraming tao ang nag-aabang. Sana ay ma-improve ang system para mas mabilis at maayos ang serbisyo sa publiko.,Procedural and Operational Issues,Medium
"The queue management system at the city hall or barangay is inefficient. Residents often wait for a long time, and there is confusion in the line. This is frustrating, especially when many people are waiting. We hope the system can be improved to provide faster and more organized public service.",Procedural and Operational Issues,Medium
Ang queue management system sa city hall o barangay ay inefficient. Madalas matagal ang paghihintay ng mga residente at nagkakaroon ng kalituhan sa linya. Nakakafrustrate ito lalo na kung maraming tao ang nag-aabang. Sana ay ma-improve ang system para mas mabilis at maayos ang serbisyo sa publiko.,Procedural and Operational Issues,Medium
Ang tulay ay nanatiling sira matapos itong bumagsak. Delikado ito para sa mga motorista at pedestrian at nagdudulot ng abala sa daily commute ng mga residente. Sana ay ma-repair agad ang tulay para maging ligtas at maayos ang daloy ng trapiko sa lugar.,Roads & Infrastructure,High
The bridge remains unrepaired after its collapse. This is dangerous for motorists and pedestrians and causes inconvenience to residents’ daily commute. We hope the bridge will be repaired promptly to ensure safety and smooth traffic flow in the area.,Roads & Infrastructure,High
Ang tulay ay nanatiling sira matapos itong bumagsak. Delikado ito para sa mga motorista at pedestrian at nagdudulot ng abala sa araw-araw na pag-commute ng mga residente. Sana ay agad maayos ang tulay para maging ligtas at maayos ang daloy ng trapiko sa lugar.,Roads & Infrastructure,High
Ang road construction ay nagdudulot ng blockage sa trapiko ng ilang linggo. Nakakafrustrate ito sa mga motorista at commuters dahil tumatagal ang biyahe at nagdudulot ng abala sa daily routine. Sana ay mas maayos ang scheduling at traffic management para hindi gaanong maapektuhan ang mga residente.,Roads & Infrastructure,High
Road construction blocks traffic for several weeks. This is frustrating for motorists and commuters as travel takes longer and disrupts their daily routine. We hope that scheduling and traffic management are improved so that residents are less affected.,Roads & Infrastructure,High
Ang konstruksyon sa kalsada ay nagdudulot ng bara sa trapiko ng ilang linggo. Nakakafrustrate ito sa mga motorista at commuters dahil tumatagal ang biyahe at naaapektuhan ang pang-araw-araw nilang gawain. Sana ay mas maayos ang scheduling at traffic management para hindi gaanong maapektuhan ang mga residente.,Roads & Infrastructure,High
"Sira ang tulay papunta sa palengke. Delikado ito para sa mga motorista at pedestrians, at nagdudulot ng abala sa mga residente na bumibili o nagdadala ng produkto. Sana ay ma-repair agad ang tulay para maging ligtas at maayos ang daanan.",Roads & Infrastructure,High
The bridge leading to the market is damaged. This is dangerous for motorists and pedestrians and causes inconvenience to residents going to the market or transporting goods. We hope the bridge will be repaired promptly to ensure safety and smooth access.,Roads & Infrastructure,High
"Sira ang tulay papunta sa palengke. Delikado ito para sa mga motorista at pedestrian, at nagdudulot ng abala sa mga residente na bumibili o nagdadala ng produkto. Sana ay agad maayos ang tulay para maging ligtas at maayos ang daanan.",Roads & Infrastructure,High
Ang road widening project ay naiwanang hindi tapos. Nagdudulot ito ng abala sa trapiko at panganib sa mga motorista at pedestrians. Nakakafrustrate ito sa mga residente dahil hindi natatapos ang proyekto kahit na matagal na itong sinimulan.,Roads & Infrastructure,High
The road widening project has been left unfinished. This causes traffic congestion and poses risks to motorists and pedestrians. It is frustrating for residents because the project has not been completed despite being started a long time ago.,Roads & Infrastructure,High
Ang road widening project ay naiwanang hindi tapos. Nagdudulot ito ng abala sa trapiko at panganib sa mga motorista at pedestrian. Nakakafrustrate ito sa mga residente dahil hindi natatapos ang proyekto kahit matagal na itong sinimulan,Roads & Infrastructure,High
Hindi pa naaaksyunan ang reklamo ko kahit ilang linggo na ang nakalipas. Nakakafrustrate ito lalo na kung mahalaga ang isyu at kailangan ng agarang solusyon.,Service Delays and Inaction,High
"My complaint has not been acted upon for weeks. This is frustrating, especially when the issue is important and requires immediate attention.",Service Delays and Inaction,High
Hindi pa naaaksyunan ang reklamo ko kahit ilang linggo na ang nakalipas. Nakakafrustrate ito lalo na kung mahalaga ang isyu at kailangan ng agarang solusyon.,Service Delays and Inaction,High
"Dalawang buwan na mula nang magsumite kami ng reklamo tungkol sa eskwelahan, pero hanggang ngayon wala pa ring aksyon. Ang ganitong katagal na paghihintay ay nakakadismaya at nagpapakita ng kakulangan sa mabilis na pagtugon ng mga kinauukulan. Sana ay seryosohin ito ng barangay o lokal na pamahalaan at agad na magbigay ng konkretong solusyon para sa kapakanan ng mga estudyante at guro.",Service Delays and Inaction,High
"It has been two months since we submitted our complaint about the school, but until now, no action has been taken. This long wait is disappointing and shows a lack of urgency from the authorities. We hope the barangay or local government takes this seriously and provides an immediate and concrete solution for the welfare of the students and teachers.",Service Delays and Inaction,High
"Dalawang buwan na mula nang magsumite kami ng reklamo tungkol sa eskwelahan, ngunit hanggang ngayon wala pa ring aksyon. Ang ganitong katagal na paghihintay ay nakakadismaya at nagpapakita ng kakulangan sa mabilis na pagtugon ng mga kinauukulan. Nawa’y seryosohin ito ng barangay o lokal na pamahalaan at agad na magbigay ng konkretong solusyon para sa kapakanan ng mga estudyante at guro.",Service Delays and Inaction,High
"Walang timely updates tungkol sa mga service requests na isinubmit ng mga residente. Kadalasan, kailangan pa naming mag-follow up nang paulit-ulit bago kami mabigyan ng impormasyon. Dahil dito, maraming tao ang nagiging frustrated at nagdududa kung natutugunan ba talaga ang kanilang mga concerns. Sana ay magkaroon ng malinaw at regular na updates para maging transparent at maayos ang proseso.",Service Delays and Inaction,High
"There are no timely updates regarding the service requests submitted by residents. Oftentimes, we have to make repeated follow-ups before we receive any information. This situation leaves many people frustrated and uncertain if their concerns are really being addressed. We hope that the authorities can provide clear and regular updates to ensure transparency and efficiency in the process.",Service Delays and Inaction,High
"Walang agarang updates tungkol sa mga service requests na isinusumite ng mga residente. Madalas, kailangan pang mag-follow up nang paulit-ulit bago makakuha ng impormasyon. Dahil dito, maraming tao ang nadidismaya at nagdududa kung natutugunan ba talaga ang kanilang mga hinaing. Nawa’y magkaroon ng malinaw at regular na updates upang masiguro ang transparency at maayos na proseso.""",Service Delays and Inaction,High
"May matagal na response sa mga urgent concerns na dapat sana ay agad na natutugunan. Halimbawa, kapag may problema sa kalsada o kuryente, inaabot pa ng ilang araw bago may aksyon mula sa mga opisyal. Dahil dito, lumalala ang sitwasyon at naaapektuhan ang mga residente. Sana ay magkaroon ng mas mabilis na sistema para sa mga ganitong importanteng usapin.",Service Delays and Inaction,High
"There are delayed responses to urgent concerns that should have been addressed immediately. For example, when there are issues with roads or electricity, it often takes several days before any action is taken by the officials. Because of this, the situation worsens and residents are directly affected. We hope that a faster system can be implemented to handle these important matters promptly.",Service Delays and Inaction,High
"Matagal ang tugon sa mga agarang concerns na dapat ay agad na inaaksyunan. Halimbawa, kung may problema sa kalsada o kuryente, inaabot pa ng ilang araw bago kumilos ang mga opisyal. Dahil dito, lalong lumalala ang sitwasyon at apektado ang mga residente. Nawa’y magkaroon ng mas mabilis na sistema para sa mga ganitong mahahalagang usapin.",Service Delays and Inaction,High
Sana nakapaskil po to sa may kanyangkantang section sa market.. may tarpaulin Sana to para walang over pricing.,Overpricing,High
Dapat inspect nyo po mismo mga paninda sa palengke at pagsabihan mga tindera kasi gold npo ang mga presyo ng pninda sa palengke ntin.,Overpricing,High
60 php un isang tali ng sweet potato leaves its goin rotten grabeee jaan sa San Fernando ginto lhat ng bilihin mygoodness paano na lng un gaya Kong average in living,Overpricing,High
Talaga po Hinde nasusunod lahat Ng presyo masa grocery man or store man Wala KC nag momonitor kaya ganitong Ang pilipinas,Overpricing,High
Hindi nman nasusunod yan sobrang mahal mga gulay sa palenke,Overpricing,High
"Wala naman nagcocontrol, nakaupo naman lahat nga inspector sa market",Procedural and Operational Issues,High
Sobrang mahal ang gulay talaga sana may bantay dyn sa palingke at tumingin ng mga presyo di nmn nasusunod yan presyo na post byo,Overpricing,High
pag lumapet ka sa baranggay kung san ka nakatira ang sasabihin nila..kung saan ka botante duon ka kukuha tapos pag nagpunta ka nman sa barangay kung san ka botante ang sasabihin kung san nakatira dun ka kukuha...ano po ba tlaga,Unprofessional Conduct and Behavior,Medium
Nagbigay na po ba ng ayuda? Parang hindi naman kami nasasabihan. Much better kung gawing house to house ang pagbibigay para lahat mabigyan. Kawawa ung mga hindi nasabihan,Unprofessional Conduct and Behavior,Medium
Buti pa ang bagyo dumaan sa amin pero ang ganyan na ayuda lumampas sa amin pinilit nila yung binigyan,Governance and Integrity Concerns,Medium
"May daya lang talaga sa bigayan,sa amin na malaking pamilya iisang box tapos sa kapitbahay na magasawa lang at walang anak,dalawa naibigay ____ mas malaki naman ambag namin sa taxes ehdiwawww,gamot pa na binibigay sa brgy para sa leptospirosis ehh expired,nainom na namin ano po magagawa namin _________",Governance and Integrity Concerns,Medium
sabi ng ibang barangay di naman daw naka rehistro bakit daw bibigyan..kahit di naka rehistro basta butante dito sa san fernando yun ang mahalaga..meron naba pinipili ang mga taga barangay??? lahat nabagyo lahat nangailangan ..pero mga workers ng barangay pinipili nila..kesyo borders lang daw..GUSTO KO MAG NAME DROP NG BARANGAY DITO!!!!!!!,Governance and Integrity Concerns,Medium
"Nagbigay na po ba ng ayuda? Kasi parang hindi naman kami nasasabihan kung kailan at paano ipamimigay. Maraming residente ang hindi nakakaalam ng schedule o kung saan dapat pumunta. Mas maganda siguro kung gawing house-to-house ang distribution para lahat ay mabigyan at walang maiwan. Sa ganitong paraan, mas maayos at patas ang pamimigay ng ayuda.",Governance and Integrity Concerns,Medium
Has aid already been distributed? It seems that we are not properly informed about when and how it will be given. Many residents are unaware of the schedule or the location for claiming the assistance. It would be much better if the distribution could be done house-to-house to ensure that everyone receives it and no one is left out. This would make the process more organized and fair.,Governance and Integrity Concerns,Medium
"Nagbigay na po ba ng ayuda? Kasi parang hindi naman kami nasasabihan kung kailan at paano ipamimigay. Maraming residente ang walang alam tungkol sa schedule o kung saan dapat pumunta. Mas mabuti kung gawing house-to-house ang pamimigay para lahat ay mabigyan at walang maiwan. Sa ganitong paraan, mas maayos at patas ang distribusyon ng ayuda.",Governance and Integrity Concerns,Medium
"Some barangay employees are unprofessional. May mga pagkakataon na hindi sila maayos makitungo sa mga residente, minsan pasigaw o parang walang pakialam. Imbes na tulungan at gabayan ang mga tao sa proseso, nagiging pabigat pa ang kanilang asal. Dapat sigurong magkaroon ng maayos na training o orientation para masigurong maayos at magalang ang serbisyo nila",Unprofessional Conduct and Behavior,Medium
"Some barangay employees are unprofessional. There are instances when they do not treat residents properly, sometimes raising their voices or showing indifference. Instead of assisting and guiding people through the process, their behavior becomes an additional burden. Proper training or orientation should be provided to ensure that they deliver respectful and efficient service.",Unprofessional Conduct and Behavior,Medium
"May ilang empleyado ng barangay na hindi propesyonal. May mga pagkakataon na hindi sila maayos makitungo sa mga residente, minsan pasigaw o tila walang pakialam. Sa halip na tumulong at gumabay sa proseso, nagiging pabigat pa ang kanilang asal. Dapat magkaroon ng tamang training o orientation upang masiguro na maayos at magalang ang kanilang serbisyo.",Unprofessional Conduct and Behavior,Medium
"Clerks gossip instead of working. Imbes na tutukan ang mga dokumento at magserbisyo sa mga tao, mas inuuna nila ang pagkukwentuhan at tsismisan. Dahil dito, mas bumabagal ang proseso at naaapektuhan ang mga residente na matiyagang nakapila.",Unprofessional Conduct and Behavior,Medium
"Clerks gossip instead of working. Instead of focusing on processing documents and serving the people, they prioritize chatting and gossiping. This causes delays in transactions and greatly affects residents who patiently wait in line.",Unprofessional Conduct and Behavior,Medium
"Ang mga clerk ay nagtsitsismisan imbes na magtrabaho. Sa halip na asikasuhin ang mga dokumento at magsilbi sa mga tao, inuuna pa nila ang pagkukwentuhan. Dahil dito, mas bumabagal ang proseso at naaabala ang mga residente na nakapila. Dapat silang paalalahanan ng kanilang supervisor na unahin ang trabaho kaysa sa personal na usapan.",Unprofessional Conduct and Behavior,Medium
"Some barangay employees are unprofessional. May mga pagkakataon na hindi sila maayos makitungo sa mga residente, minsan pasigaw o parang walang pakialam. Imbes na tulungan at gabayan ang mga tao sa proseso, nagiging pabigat pa ang kanilang asal.",Unprofessional Conduct and Behavior,Medium
"Some barangay employees are unprofessional. There are instances when they do not treat residents properly, sometimes raising their voices or showing indifference. Instead of assisting and guiding people through the process, their behavior becomes an additional burden. Proper training or orientation should be provided to ensure that they deliver respectful and efficient service.",Unprofessional Conduct and Behavior,Medium
"May ilang empleyado ng barangay na hindi propesyonal. May mga pagkakataon na hindi sila maayos makitungo sa mga residente, minsan pasigaw o tila walang pakialam. Sa halip na tumulong at gumabay sa proseso, nagiging pabigat pa ang kanilang asal. Dapat magkaroon ng tamang training o orientation upang masiguro na maayos at magalang ang kanilang serbisyo.",Unprofessional Conduct and Behavior,Medium
"Some barangay employees are unprofessional in their work. Instead of assisting residents properly, they sometimes display rude behavior, show favoritism, or ignore concerns. This creates a negative impression of the office and discourages residents from seeking help. Government employees are expected to serve the public with respect, fairness, and professionalism, but sadly, this is not always the case.",Unprofessional Conduct and Behavior,Medium
"May mga empleyado sa barangay na hindi propesyonal sa kanilang trabaho. Sa halip na ayusin at tulungan ang mga residente, minsan ay bastos ang kanilang pakikitungo, may kinikilingan, o kaya naman ay binabalewala ang mga hinaing. Dahil dito, nagkakaroon ng masamang impresyon ang mga tao at nag-aatubiling lumapit para humingi ng tulong. Inaasahan ang mga kawani ng gobyerno na magsilbi nang may respeto at propesyonalismo, ngunit hindi ito palaging nakikita.""",Unprofessional Conduct and Behavior,Medium
"Some barangay employees are unprofessional. Imbes na maging maayos at accommodating sa mga residente, minsan rude sila, nagpapakita ng favoritism, o deadma sa concerns. Nakakasira ito ng tiwala ng mga tao at nakakadiscourage lumapit sa barangay office. Government staff should serve with respect and professionalism, pero madalas hindi ito nangyayari.",Unprofessional Conduct and Behavior,Medium
"Some barangay officials and employees are disrespectful when dealing with residents. Instead of addressing concerns politely, they raise their voices, dismiss questions, or act as if people’s problems are not important. This kind of behavior makes residents feel unwelcome and ignored, even though they have the right to be served properly by their local government.",Unprofessional Conduct and Behavior,Medium
"May ilang opisyal at empleyado sa barangay na walang respeto sa pakikitungo sa mga residente. Sa halip na makipag-usap nang maayos, sila ay madalas sumisigaw, binabalewala ang mga tanong, o ipinapakita na hindi mahalaga ang problema ng tao. Dahil dito, nakakaramdam ng pagkawalang-gana at hindi pagtanggap ang mga residente, kahit karapatan nila ang maayos na serbisyo mula sa pamahalaan.",Unprofessional Conduct and Behavior,Medium
"Some barangay officials and staff are disrespectful sa pakikitungo sa mga tao. Imbes na makipag-usap politely, minsan pasigaw, rude, or parang hindi nila pinapansin yung concerns ng residents. Nakaka-turn off ito at nakakabawas ng tiwala sa barangay, kasi dapat they serve the people with respect.",Unprofessional Conduct and Behavior,Medium
"Some government employees openly mock or make fun of citizens who come to ask for help or process documents. Instead of showing professionalism, they laugh at people’s concerns, use sarcastic remarks, or belittle those who do not understand the procedures.",Unprofessional Conduct and Behavior,Medium
"May mga empleyado sa opisina ng gobyerno na pinagtatawanan o nilalait ang mga mamamayan na lumalapit para humingi ng tulong o magproseso ng dokumento. Sa halip na maging propesyonal, sila ay nagbibitiw ng mga sarkastikong salita, tumatawa sa mga problema ng tao, o minamaliit ang mga hindi nakakaintindi ng proseso.",Unprofessional Conduct and Behavior,Medium
"Some employees at the office mock or make fun of citizens na pumupunta para mag-asikaso ng documents or humingi ng tulong. Instead of being professional, they laugh, make sarcastic jokes, or belittle yung mga hindi familiar sa proseso",Unprofessional Conduct and Behavior,Medium
"May malaking tambak ng basura sa gilid ng kalsada na matagal nang hindi dinadaanan ng truck ng koleksyon. Dahil dito, nagkakaroon ng masamang amoy at dumadami ang langaw at daga na maaaring magdulot ng sakit. Nakakaabala rin ito sa mga dumadaan, lalo na sa mga estudyante at residente na araw-araw gumagamit ng kalsadang iyon. Nananawagan kami na agad itong aksyunan ng barangay upang mapanatiling malinis at ligtas ang kapaligiran",Waste Management,High
"There is a huge pile of garbage along the roadside that has not been collected by the garbage truck for a long time. This causes foul odor and attracts flies and rats, which may spread diseases. It also obstructs passersby, especially students and residents who use the road daily. We hope the barangay can take immediate action to keep the surroundings clean and safe.",Waste Management,High
"May malaking pile ng basura sa gilid ng kalsada na matagal nang hindi kinokolekta ng garbage truck. Dahil dito, nagkakaroon ng foul smell at dumadami ang mga langaw at daga na pwedeng magdala ng sakit. Naiistorbo rin ang mga dumadaan, lalo na yung mga estudyante at residents na araw-araw gumagamit ng kalsadang iyon. Sana po ay agad itong ma-actionan ng barangay para maging clean at safe ang paligid.""",Waste Management,High
"Garbage is scattered near the school, creating a foul smell and health risk for students and residents. We request immediate cleanup to keep the area safe and clean",Waste Management,High
Nagkalat ang basura malapit sa paaralan na nagdudulot ng masamang amoy at panganib sa kalusugan ng mga estudyante at residente. Nais naming humiling ng agarang paglilinis upang maging ligtas at malinis ang paligid.,Waste Management,High
May scattered garbage near the school na nagdudulot ng bad smell at health risk sa students at residents. Sana po ay ma-clean up agad para safe at clean ang area.,Waste Management,High
"Waste disposal is not managed well in our area. Trash is not collected regularly, causing piles of garbage on the streets and creating health and sanitation problems.",Waste Management,High
Hindi maayos ang pamamahala ng pagtatapon ng basura sa aming lugar. Hindi regular na kinokolekta ang basura kaya naiipon ito sa kalsada at nagdudulot ng problema sa kalusugan at kalinisan.,Waste Management,High
Waste disposal is not properly managed dito sa area namin. Hindi regular ang collection ng basura kaya nag-accumulate sa streets at nagiging health and sanitation problem,Waste Management,High
"There are no garbage trucks passing by the municipal area to collect trash. Because of this, garbage keeps piling up in the surroundings, causing foul odor and attracting pests like rats and flies. This creates health risks for residents and gives a bad image to the community. We hope the local government can schedule regular garbage collection to maintain cleanliness and order.",Waste Management,High
"Walang dumadaang trak ng basura sa munisipyo para mag-collect ng basura. Dahil dito, naiipon ang mga basura sa paligid, nagdudulot ng mabahong amoy at nakakaakit ng mga daga at langaw. Nagiging banta ito sa kalusugan ng mga residente at nakakasira ng imahe ng komunidad. Sana ay magkaroon ng regular na schedule ng koleksyon ng basura ang lokal na pamahalaan para mapanatiling malinis at maayos ang kapaligiran",Waste Management,High
"Walang dumadaang garbage truck sa munisipyo to collect trash. Kaya nagpa-pile up ang basura sa paligid, nagkaka-amoy at dumadami ang pests tulad ng daga at langaw. This is a health risk for residents at nakakahiya rin para sa community. Sana mag-set ng regular schedule ang LGU para sa proper garbage collection",Waste Management,High
"The garbage truck does not arrive on schedule, causing trash to pile up on the streets. This delay leads to foul odors and attracts stray animals and pests, creating health risks for the community. Residents are inconvenienced and the surroundings become dirty and unpleasant.",Waste Management,High
"Hindi dumarating sa oras ang trak ng basura kaya naiipon ang mga basura sa kalsada. Dahil dito, nagkakaroon ng mabahong amoy at naaakit ang mga aso, pusa, at iba pang peste na nagdudulot ng panganib sa kalusugan ng komunidad. Naiistorbo ang mga residente at nagiging madumi at hindi kaaya-aya ang kapaligiran.",Waste Management,High
